Under five mortality,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Slovak Republic,363.32,363.32,363.32,363.32,363.32,363.32,363.32,363.32,363.32,363.32,363.32,363.32,363.32,363.32,363.32,363.32,363.32,363.32,363.32,363.32,363.32,363.32,363.32,363.32,363.32,363.32,363.32,363.32,363.32,363.32,363.32,363.32,363.32,363.32,363.32,363.32,363.32,363.32,363.32,363.32,363.32,363.32,363.32,363.32,363.32,363.32,363.32,363.32,363.32,363.32,363.32,363.32,363.32,363.32,363.32,363.32,363.32,363.32,363.32,363.32,363.32,363.32,363.32,363.32,363.32,363.32,363.32,363.32,363.32,363.32,363.32,363.32,363.32,363.32,363.32,363.32,363.32,363.32,363.32,363.32,363.32,363.32,363.32,363.32,363.32,363.32,363.32,363.32,363.32,363.32,363.32,363.32,363.32,363.32,363.31,363.28,359.71,356.09,352.5,348.86,345.17,341.47,337.75,333.98,330.19,326.4,322.57,318.7,314.85,310.97,307.07,303.2,299.36,295.51,291.71,287.95,284.21,280.48,276.82,273.18,269.55,265.97,259.53,252.24,245.98,239.82,232.84,226.84,220.97,214.28,208.55,203.77,199.88,195.21,190.59,186.02,182.3,177.82,172.63,167.52,162.46,160.37,158.31,156.27,154.25,152.26,150.28,148.33,146.41,144.5,142.62,138.54,97.28,82.87,67.11,59.36,53.69,60.16,47.58,43.08,37.81,35.55,32.44,33.98,32.66,36.19,33.8,30.99,29.27,32.02,30.72,29.12,30.06,30.28,27.72,27.77,28.19,24.7,25.07,23.66,23.16,25.9,24.8,23.8,22.8,21.8,20.9,20,19.2,18.4,17.7,17,16.3,15.6,15,14.4,13.8,13.3,12.7,12.2,11.8,11.4,11,10.6,10.2,9.8,9.5,9.1,8.8,8.4,8.1,7.8,7.5,7.2,7,6.7
Slovenia,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.96,360.93,360.88,360.78,360.64,360.45,360.19,359.88,359.51,359.09,358.61,358.07,357.48,356.83,356.13,355.37,354.58,353.76,352.93,352.08,351.23,350.38,349.54,348.69,347.84,347,346.15,335.31,323.6,313.21,303.03,293.05,282.27,272.7,263.31,253.17,244.17,235.35,226.7,217.33,209.03,200.89,192.09,184.26,176.58,169.06,160.95,153.12,145.51,137.4,130.23,123.25,116.47,109.25,102.87,96.7,90.13,83.72,77.76,72.23,67.09,62.31,57.87,53.75,49.92,46.36,43.06,41.08,39.2,37.4,35.68,34.04,32.48,30.99,29.56,28.2,26.9,25.57,24.3,23.09,21.95,20.86,19.82,18.83,17.9,17.01,16.16,18,17,16.1,15.3,14.4,13.5,12.7,11.9,11.1,10.4,9.7,9.1,8.5,7.9,7.4,6.9,6.5,6.2,5.8,5.5,5.2,5,4.7,4.5,4.3,4.1,3.9,3.7,3.5,3.3,3.2,3,2.9,2.8,2.7
Solomon Islands,504.87,504.87,504.87,504.87,504.87,504.87,504.87,504.87,504.87,504.87,504.87,504.87,504.87,504.87,504.87,504.87,504.87,504.87,504.87,504.87,504.87,504.87,504.87,504.87,504.87,504.87,504.87,504.87,504.87,504.87,504.87,504.87,504.87,504.87,504.87,504.87,504.87,504.87,504.87,504.87,504.87,504.87,504.87,504.87,504.87,504.87,504.87,504.87,504.87,504.87,504.87,504.87,504.87,504.87,504.87,504.87,504.87,504.87,504.87,504.87,504.87,504.87,504.87,504.87,504.87,504.87,504.87,504.87,504.87,504.87,504.87,504.87,504.87,504.87,504.87,504.87,504.87,504.87,504.87,504.87,504.87,504.87,504.87,504.87,504.87,504.87,504.87,504.87,504.87,504.87,504.87,504.87,504.87,504.87,504.86,504.82,504.74,504.61,504.41,504.13,503.78,503.34,502.83,502.24,501.56,500.81,499.99,499.08,498.09,497.04,495.93,494.79,493.61,492.43,491.24,490.06,488.88,487.69,486.51,485.32,484.14,482.92,481.71,480.49,479.28,478.06,476.85,475.63,474.42,473.2,471.99,470.77,469.56,468.34,467.13,465.92,464.71,463.5,462.28,461.07,459.85,458.65,457.43,456.22,455,413.65,375.37,339.73,305.39,274.16,244.79,239.4,234.12,228.96,223.92,218.99,214.16,209.44,204.83,200.31,195.9,185.6,175.9,166.7,157.9,149.7,141.4,132.8,124.1,115.6,107.2,99.2,91.9,85.2,79.1,73.5,68.4,63.9,59.9,56.4,53.5,51.1,49,47.3,45.8,44.5,43.3,42.3,41.4,40.6,39.7,38.9,37.9,37,36.2,35.4,34.8,34.3,33.9,33.5,33.1,32.9,32.8,32.9,33.1,33.2,33.4,33.3,33.1,32.6,32.1,31.4,30.7,29.9,28.9,28.1
Somalia,451.96,451.96,451.96,451.96,451.96,451.96,451.96,451.96,451.96,451.96,451.96,451.96,451.96,451.96,451.96,451.96,451.96,451.96,451.96,451.96,451.96,451.96,451.96,451.96,451.96,451.96,451.96,451.96,451.96,451.96,451.96,451.96,451.96,451.96,451.96,451.96,451.96,451.96,451.96,451.96,451.96,451.96,451.96,451.96,451.96,451.96,451.96,451.96,451.96,451.96,451.96,451.96,451.96,451.96,451.96,451.96,451.96,451.96,451.96,451.96,451.96,451.96,451.96,451.96,451.96,451.96,451.96,451.96,451.96,451.96,451.96,451.96,451.96,451.96,451.96,451.96,451.96,451.96,451.96,451.96,451.96,451.96,451.96,451.96,451.96,451.96,451.96,451.96,451.96,451.96,451.96,451.96,451.96,451.96,451.95,451.92,451.85,451.73,451.55,451.3,450.99,450.6,450.14,449.61,449.01,448.33,447.59,446.78,445.9,444.95,443.96,442.94,441.89,440.83,439.77,438.71,437.65,436.59,435.53,434.46,433.4,432.34,431.28,430.22,429.16,428.1,427.04,425.98,424.92,423.86,422.8,421.74,420.68,419.62,418.56,417.5,416.43,415.37,414.31,413.25,412.19,411.13,410.07,409.03,407.99,406.95,396.18,386.8,376.48,367.48,357.51,354.38,349.04,343.33,337.25,330.78,324.02,316.89,309.46,302.15,294.92,287.82,280.77,273.79,266.88,259.97,253.14,246.31,239.88,233.83,228.13,223.59,218.6,215.64,212.71,209.83,206.98,204.18,201.41,198.67,224.13,222.06,190.7,189.1,187.1,186,185.4,184.9,184.1,182.7,180.2,177.2,175.3,174.5,174.4,174.4,174.4,174.4,174.4,174.4,174.4,174.4,174.4,174.4,174.4,174.3,173.7,171.8,168.5,164.4,160.2,155.3,150.6,146.1,141.2,136.8
Somaliland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Africa,398.45,398.45,398.45,398.45,398.45,398.45,398.45,398.45,398.45,398.45,398.45,398.45,398.45,398.45,398.45,398.45,398.45,398.45,398.45,398.45,398.45,398.45,398.45,398.45,398.45,398.45,398.45,398.45,398.45,398.45,398.45,398.45,398.45,398.45,398.45,398.45,398.45,398.45,398.45,398.45,398.45,398.45,398.45,398.45,398.45,398.45,398.45,398.45,398.45,398.45,398.45,398.45,398.45,398.45,398.45,398.45,398.45,398.45,398.45,398.45,398.45,398.45,398.45,398.45,398.45,398.45,398.45,398.45,398.45,398.45,398.45,398.45,398.45,398.45,398.45,398.45,398.45,398.45,398.45,398.45,398.45,398.45,398.45,398.45,398.45,398.45,398.45,398.45,398.45,398.45,398.45,398.45,398.45,398.45,398.44,398.41,398.35,398.24,398.09,397.87,397.59,397.24,396.84,396.37,395.84,395.25,394.59,393.88,393.1,392.27,391.4,390.49,389.57,388.63,387.7,386.76,385.83,384.89,383.96,383.02,382.09,381.15,380.22,379.28,378.35,377.41,376.48,375.54,374.61,373.67,372.74,365.98,359.37,352.8,346.36,340.2,334.17,328.15,322.26,316.39,310.64,304.9,299.28,293.68,288.18,282.71,277.34,271.99,266.74,261.52,256.38,252.2,244.46,237.41,230.17,223.63,217.76,211.7,205.46,200.15,194.89,189.72,184.61,179.56,174.55,169.51,164.61,159.85,155.24,150.75,146.4,142.17,138.06,134.07,130.2,123.1,116.7,110.4,104.6,99.1,93.8,89,84.6,80.6,76.9,73.5,70.5,67.7,65.3,63.2,61.5,60.3,59.8,60.1,61,62.6,64.7,67.3,69.8,72.1,74,75.5,76.3,78,76.9,75.2,72.8,70.1,66.1,61.8,54.4,50.6,47.8,45.1,43.3,42.1
South Ossetia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,450.6,450.6,450.6,450.6,450.6,450.6,450.6,450.6,450.6,450.6,450.6,450.6,450.6,450.6,450.6,450.6,450.6,450.6,450.6,450.6,450.6,450.6,450.6,450.6,450.6,450.6,450.6,450.6,450.6,450.6,450.6,450.6,450.6,450.6,450.6,450.6,450.6,450.6,450.6,450.6,450.6,450.6,450.6,450.6,450.6,450.6,450.6,450.6,450.6,430.33,410.97,392.48,374.82,357.96,341.86,326.48,311.79,297.77,284.37,310.63,282.71,273.18,284.37,308.99,325.26,326.89,300.8,305.71,344.73,318.75,330.14,328.69,327.25,325.82,324.4,322.97,321.56,320.15,318.75,310.63,308.99,307.34,312.26,331.76,302.43,312.26,284.37,323.63,299.15,301.74,304.35,306.99,309.65,312.33,315.03,317.76,320.51,323.29,326.09,328.91,331.76,300.8,292.6,263.54,281.07,261.86,282.71,256.73,288.26,286.4,299.19,321.76,261.16,277.14,267.37,269.77,255.27,267.57,345.12,271.8,314.39,290.16,257.73,253.3,234.4,227.33,217.95,204.36,214.84,202.05,215.9,207.4,190.49,182.71,177.21,172.3,169.18,199.74,183.54,192.7,208.07,205.75,163.77,155.8,136.33,127.03,122.37,107.8,98.93,98.95,115.5,101.8,91,83.1,78.1,74.9,71.9,68.3,64.3,59.9,55.6,51.6,48.2,45.3,42.9,40.8,38.8,36.7,34.4,31.8,29.2,26.6,24.4,23.1,23,23.5,23.6,22.8,21.3,19.5,17.8,16.4,15.4,14.7,14,13.4,12.8,12.3,11.9,11.5,11,10.5,10.1,9.5,8.9,8.3,7.7,7.3,7,6.7,6.5,6.3,6.2,6.1,5.9,5.7,5.5,5.2,5,4.8,4.6,4.5,4.4,4.3,4.2,4.1
Sri Lanka,409.79,409.79,409.79,409.79,409.79,409.79,409.79,409.79,409.79,409.79,409.79,409.79,409.79,409.79,409.79,409.79,409.79,409.79,409.79,409.79,409.79,409.79,409.79,409.79,409.79,409.79,409.79,409.79,409.79,409.79,409.79,409.79,409.79,409.79,409.79,409.79,409.79,409.79,409.79,409.79,409.79,409.79,409.79,409.79,409.79,409.79,409.79,409.79,409.79,409.79,409.79,409.79,409.79,409.79,409.79,409.79,409.79,409.79,409.79,409.79,409.79,409.79,409.79,409.79,409.79,409.79,409.79,409.79,409.79,409.79,409.79,409.79,409.79,409.79,409.79,409.79,409.79,409.79,409.79,409.79,409.79,409.79,409.79,409.79,409.79,409.79,409.79,409.79,409.79,409.79,409.79,409.79,409.79,409.79,409.78,409.75,409.68,409.57,409.41,409.19,408.9,408.55,411.94,413.99,417.29,420.54,422.43,425.52,428.63,431.66,433.31,436.26,432.53,428.83,425.14,421.47,416.51,412.93,409.36,405.8,402.26,398.72,385.54,372.68,358.99,346.75,334.8,323.12,310.66,299.51,288.61,277.95,267.52,256.38,246.4,236.65,237.8,238.97,241.05,242.2,243.35,230.16,217.69,205.89,194.73,184.18,174.2,164.76,155.83,147.38,139.39,135,132.5,129.8,127,123.5,119.7,115.3,110.6,105.8,101,96.4,92.2,88.3,84.8,81.6,78.8,76.4,74.3,72.5,71,69.7,68.5,67.1,65.6,63.8,61.6,59.1,56.3,53.2,49.9,46.3,42.4,38.3,34.1,30.2,26.9,24.2,22.5,21.6,21.3,21.2,21.2,21.1,20.8,20.2,19.5,18.7,17.8,17,16.3,15.8,15.4,15,28.8,14.1,13.3,12.5,11.7,11.1,10.6,10.1,9.7,9.4,9,8.7
Sudan,425.25,425.25,425.25,425.25,425.25,425.25,425.25,425.25,425.25,425.25,425.25,425.25,425.25,425.25,425.25,425.25,425.25,425.25,425.25,425.25,425.25,425.25,425.25,425.25,425.25,425.25,425.25,425.25,425.25,425.25,425.25,425.25,425.25,425.25,425.25,425.25,425.25,425.25,425.25,425.25,425.25,425.25,425.25,425.25,425.25,425.25,425.25,425.25,425.25,425.25,425.25,425.25,425.25,425.25,425.25,425.25,425.25,425.25,425.25,425.25,425.25,425.25,425.25,425.25,425.25,425.25,425.25,425.25,425.25,425.25,425.25,425.25,425.25,425.25,425.25,425.25,425.25,425.25,425.25,425.25,425.25,425.25,425.25,425.25,425.25,425.25,425.25,425.25,425.25,425.25,425.25,425.25,425.25,425.25,425.24,425.21,425.14,425.03,424.86,424.63,424.33,423.96,423.53,423.03,422.47,421.84,421.14,420.37,419.54,418.65,417.72,416.76,415.77,414.77,413.82,412.88,411.93,410.98,410.03,409.09,408.14,407.19,406.24,405.29,404.35,403.4,402.45,401.49,400.54,399.6,398.65,397.69,396.74,395.79,394.84,393.89,392.94,391.98,391.04,390.08,389.13,374.06,359.41,345.16,327.3,310.36,294.3,279.08,264.64,250.94,237.96,225.65,213.97,202.9,199.4,195.8,192.1,188.5,185.1,181.7,178.4,175.2,172.2,169.3,166.5,164,161.7,159.6,157.7,156,154.6,153.3,152.1,150.8,149.6,148.3,147,145.6,144.3,143.2,142.1,140.9,139.9,138.8,137.5,136,134.5,132.8,131.1,129.3,127.5,125.7,123.9,122.1,120.2,118.2,116.1,113.9,111.4,108.8,105.9,103.1,100.2,97.3,94.5,91.9,89.3,87,84.7,82.4,80.2,78.2,76.3,74.2,72.2,70.1
Suriname,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.96,405.95,405.92,405.86,405.75,405.59,405.37,405.09,404.74,404.32,403.85,403.31,402.7,402.04,401.31,400.51,399.67,398.78,397.86,396.91,395.96,395.01,394.06,393.1,392.15,391.2,390.25,389.29,388.34,387.39,386.43,385.48,384.53,372.94,362.75,351.62,340.73,330.06,320.66,310.39,300.35,291.51,281.84,272.37,264.02,254.88,245.93,237.14,229.43,220.98,211.44,202.98,193.93,185.13,176.56,168.96,160.85,152.97,149.49,143.34,137.81,132.24,126.68,121.71,117.35,112.33,108.05,103.88,100.36,96.39,93.03,89.22,85.51,81.87,78.79,75.42,72.67,69.66,67.23,65.35,64.24,63.15,62.08,61.02,59.97,58.94,57.93,56.74,55.8,54.96,57,55.5,54.1,52.7,51.4,50.2,48.9,47.6,46.3,44.9,43.5,42.2,40.9,39.6,38.3,37,35.7,34.4,33.3,32.1,31.1,30.1,29.2,28.3,27.4,26.4,25.6,24.9,24.1,23.4,22.6,21.9,21.3
Svalbard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swaziland,413.61,413.61,413.61,413.61,413.61,413.61,413.61,413.61,413.61,413.61,413.61,413.61,413.61,413.61,413.61,413.61,413.61,413.61,413.61,413.61,413.61,413.61,413.61,413.61,413.61,413.61,413.61,413.61,413.61,413.61,413.61,413.61,413.61,413.61,413.61,413.61,413.61,413.61,413.61,413.61,413.61,413.61,413.61,413.61,413.61,413.61,413.61,413.61,413.61,413.61,413.61,413.61,413.61,413.61,413.61,413.61,413.61,413.61,413.61,413.61,413.61,413.61,413.61,413.61,413.61,413.61,413.61,413.61,413.61,413.61,413.61,413.61,413.61,413.61,413.61,413.61,413.61,413.61,413.61,413.61,413.61,413.61,413.61,413.61,413.61,413.61,413.61,413.61,413.61,413.61,413.61,413.61,413.61,413.61,413.6,413.57,413.5,413.4,413.23,413.01,412.72,412.36,411.94,411.45,410.9,410.29,409.61,408.87,408.06,407.2,406.29,405.23,404.15,403.06,401.97,400.88,399.79,398.7,397.62,396.53,395.44,394.36,393.27,392.18,391.09,390.01,388.93,387.85,386.77,385.68,384.6,383.52,382.45,381.37,380.29,379.21,378.14,377.06,375.98,374.91,373.82,357.53,341.95,327.04,312.79,299.15,286.12,273.64,261.72,242.6,239.4,236.9,234.2,231.2,228.7,225.9,223.1,220.3,217.3,214.4,211.2,208,204.8,201.5,197.8,194,190.3,186.6,182.9,179,174.8,170.1,164.8,158.9,152.5,145.8,139.5,133.4,127.8,122.4,117,111.3,105.3,99.1,92.9,86.7,81,76,71.9,68.8,67,66.7,68,71,75.7,81.1,86.9,92.6,98.3,103.9,109.5,113.8,117,119.5,120.9,120.8,115.9,113,112.2,105.1,90.9,83.6,78.8,74.9,70.8,69.6
Sweden,381.11,328.8,282.91,275.34,271.67,265.89,332.75,278.34,349.58,365.9,346.01,324.64,312.19,303.56,299.37,274.63,273.48,276.06,269.7,293.64,260.84,305.07,245.04,217.57,224.57,227.94,242.18,226.29,282.11,303.03,254.89,275.94,256.02,244.45,252.64,200.02,224.99,279.66,253.56,251.63,220.74,220.81,242.37,232.66,226.2,214.84,249.73,270.15,212.35,227,217.93,232.28,250.3,257.44,219.7,226.19,245.87,309.88,247.98,232.07,196.55,216.8,265.54,236.7,235.43,232.94,221.75,210.61,249.45,271.36,220.52,183.53,186.85,197.36,229.85,232.51,237.33,227.8,226.88,196.95,203.94,194.9,206.6,197.34,192.29,195,183.42,173.45,160.73,162.46,177.64,178.93,171.02,166.85,161.49,147,156.25,148.55,140.58,171.69,155.19,157.14,135.63,138.63,127.22,131.81,117.82,112.23,122.15,103.39,108.23,104.34,104.05,98.08,101.99,106.18,102.56,94.08,107.33,106.42,99.42,86.19,82.03,75.44,83.13,75.19,74.4,80.68,80.93,75.55,71.8,73.94,66.78,63.3,61.86,60.6,59.78,61.08,56.82,52.12,49.2,49.66,40.24,40.24,43.72,40.39,33.97,32.41,29.72,29.38,27.1,25.7,24.4,23.2,22.3,21.6,21.1,20.6,20.3,19.9,19.6,19.2,18.6,17.9,17.1,16.3,15.5,14.9,14.4,13.9,13.4,12.9,12.3,11.6,10.9,10.3,9.8,9.4,9,8.7,8.5,8.2,8,7.8,7.7,7.6,7.5,7.4,7.3,7.2,6.9,6.6,6.1,5.7,5.2,4.8,4.5,4.3,4.2,4.1,4.1,4.1,4,3.9,3.7,3.6,3.4,3.3,3.2,3.1,3.1,3,3,3,3,3
Switzerland,344.77,344.77,344.77,344.77,344.77,344.77,344.77,344.77,344.77,344.77,344.77,344.77,344.77,344.77,344.77,344.77,344.77,344.77,344.77,344.77,344.77,344.77,344.77,344.77,344.77,344.77,344.77,344.77,344.77,344.77,344.77,344.77,344.77,344.77,344.77,344.77,344.77,344.77,344.77,344.77,344.77,344.77,344.77,344.77,344.77,344.77,344.77,344.77,344.77,344.77,344.77,344.77,344.77,344.77,344.77,344.77,344.77,344.77,344.77,344.77,344.77,344.77,344.77,344.77,344.77,344.77,344.77,337.19,329.78,322.53,315.44,308.51,301.73,295.09,288.61,282.26,276.06,285.07,279.8,257.08,253.16,262.22,240.4,220.6,218.07,230.96,221.99,216.2,203.9,217.85,208.13,225.4,196.6,204.8,207.94,203.3,178.4,181.2,197.56,180.74,196.98,183.52,168.26,169.02,182.47,169.16,164.27,154.74,141.39,150.57,140.73,154.08,122.71,125.25,118.38,112.48,102.89,103.85,126.75,110.71,120.87,95.34,87.72,77.81,78.75,77.08,73.86,74.24,73.89,69.71,67.4,65.2,66.8,61.07,59.72,62.74,59.67,60.55,55.96,54.46,61.64,54.27,50.79,51.28,53.5,51.32,49.49,47.77,43.87,42.13,38.5,37.2,35.8,34.5,33.1,31.7,30.3,29,27.9,27.1,26.5,26,25.4,24.6,23.6,22.6,21.6,20.7,19.9,19.2,18.4,17.6,16.7,15.8,14.8,13.8,12.9,12.1,11.4,10.8,10.4,10,9.7,9.4,9.2,9,8.9,8.8,8.6,8.4,8.2,7.9,7.5,7.1,6.7,6.4,6.1,6,5.8,5.7,5.6,5.6,5.5,5.3,5.2,5.1,5,4.8,4.7,4.6,4.5,4.4,4.3,4.2,4,3.9
Syria,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.15,429.11,429.05,428.93,428.77,428.53,428.23,427.86,427.42,426.92,426.35,425.71,425.01,424.23,423.4,422.5,421.56,420.59,419.59,418.58,417.79,417,416.2,415.41,414.61,413.81,413.01,412.22,411.42,410.61,409.82,409.01,408.2,407.4,406.59,405.78,404.97,404.17,403.36,402.54,401.74,400.92,386.8,373.04,359.63,346.55,333.78,331.73,329.68,327.65,325.63,323.62,321.62,319.64,317.67,315.71,313.76,297.71,282.36,267.7,252.7,238.6,225.1,212.7,201,190.1,179.9,170.4,161.6,153.3,145.6,138.2,131.2,124.4,117.7,111.3,105.2,99.6,94.1,89.1,84.3,79.8,75.6,71.6,67.8,64.2,60.8,57.7,54.7,52,49.4,47,44.8,42.7,40.7,38.9,37.2,35.5,33.9,32.4,30.9,29.5,28.1,26.8,25.6,24.4,23.4,22.3,21.4,20.5,19.6,18.8,18,17.3,16.5,15.9,15.3,15,16,15.3,14.3,12.9
Taiwan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tajikistan,381.44,380.6,379.76,378.92,378.08,377.24,376.41,375.58,374.75,373.92,373.09,372.27,371.45,370.62,369.81,368.99,368.17,367.36,366.55,365.74,364.93,364.12,363.32,362.51,361.71,360.91,360.12,359.32,358.53,357.73,356.94,356.15,355.37,354.58,353.8,353.02,352.24,351.46,350.68,349.91,349.13,348.36,347.59,346.82,346.06,345.29,344.53,343.77,343.01,342.25,341.49,340.74,339.98,339.23,338.48,337.73,336.99,336.24,335.5,334.76,334.02,333.28,332.54,331.81,331.08,330.34,329.61,328.89,328.16,327.43,326.71,325.99,325.27,324.55,323.83,323.11,322.4,321.69,320.98,320.27,319.56,318.85,318.15,317.45,316.74,316.04,315.35,314.65,313.95,313.26,312.57,311.88,311.19,310.5,309.81,309.13,308.44,307.76,307.08,306.4,305.73,305.05,304.38,303.7,303.03,302.36,301.7,301.03,300.36,299.7,299.04,298.38,297.72,297.06,296.4,295.75,295.09,294.44,293.79,293.14,292.49,291.85,291.2,290.56,289.92,289.27,288.64,288,287.36,286.73,286.09,285.46,281.14,276.88,272.7,268.57,264.51,260.51,256.57,252.68,248.86,245.1,241.39,237.74,234.14,230.6,227.11,223.68,220.29,216.96,213.68,210.45,207.26,204.13,201.04,198,195,192.05,189.15,186.29,183.47,180.69,177.96,175.27,172.62,170.01,167.43,164.9,162.41,159.95,157.53,155.15,152.8,148.2,143.4,139.4,136,133.5,131.8,130.8,130.5,130.4,129.9,128.5,126.1,122.6,118.3,113.6,109.9,108.1,108.4,111.2,115.7,119.9,121.4,119.8,116.2,111.3,105.6,99.4,93,86.6,80.4,74.6,69.5,65.2,61.5,58.6,56.2,54.3,52.6,50.9,49.3,47.8,46.3,44.8
